key,substructure,enrichment_strong,odds_ratio,fisher_pvalue_bh,neg_log10_fisher_bh,strong_specificity,support,count_strong,count_weak,count_inactive,dominant_class,category,sig_fdr,pA_effect,pA_sig,pA_spec,S_stat,disc2,share2,freq2,freq0,freq1,S_shap,_merge,evidence,consensus,label
cc(c)c(=O)n(C)[se],cc(c)c(=O)n(C)[se],4.290271132376395,9.859831121833537,0.0293572089951024,1.5322852353922911,0.6666666666666666,0.0014869888475836,4.0,2.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.9471577261809447,0.765812650120096,0.9471577261809447,0.8867093674939953,,,,,,,left_only,STATS_only,,cc(c)c(=O)n(C)[se]
cc(c)c(=O)n(C)s,cc(c)c(=O)n(C)s,2.574162679425837,3.785561844669203,0.1756609509123386,0.7553247705941162,0.4,0.0014869888475836,4.0,4.0,2.0,1.0,Medium_StrongEnriched,False,0.8518815052041633,0.6697357886309048,0.8518815052041633,0.7911662663464104,,,,,,,left_only,STATS_only,,cc(c)c(=O)n(C)s
cc(c)c(=O)n(c)C,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)c(=O)n(c)C
cc(c)c(=O)n(c)O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)c(=O)n(c)O
cc(c)c(C)c(c)[nH],,,,,,,,,,,,,,,,,,0.000767,0.218,1.0,0.0,1.0,0.6662326388888888,right_only,SHAP_only,,cc(c)c(C)c(c)[nH]
cc(c)c(c[nH])C(c)O,cC(O)c(c[nH])c(c)c,0.0,0.3182936256940052,0.7802674544627747,0.1077565074532979,0.0,0.0,0.0,1.0,7.0,0.0,Neutral_Balanced,False,0.18254603682946358,0.2790232185748599,0.18254603682946358,0.21470509741126234,,,,,,,left_only,STATS_only,,cC(O)c(c[nH])c(c)c
cc(c)c(c[nH])CC,cc(c)c(c[nH])CC,0.5362838915470494,0.6003734827264239,0.7802674544627747,0.1077565074532979,0.0833333333333333,0.0007434944237918,2.0,1.0,21.0,0.0,Neutral_Balanced,False,0.4747798238590873,0.2790232185748599,0.4747798238590873,0.4095276220976782,,,,,,,left_only,STATS_only,,cc(c)c(c[nH])CC
cc(c)cc(-c)[nH],c-c([nH])cc(c)c,0.0,0.3182936256940052,0.7802674544627747,0.1077565074532979,0.0,0.0,0.0,1.0,7.0,0.0,Neutral_Balanced,False,0.18254603682946358,0.2790232185748599,0.18254603682946358,0.21470509741126234,,,,,,,left_only,STATS_only,,c-c([nH])cc(c)c
cc(c)cc[nH],cc(c)cc[nH],5.148325358851674,16.440289505428225,0.0136220949899673,1.865756095608627,0.8,0.0014869888475836,4.0,1.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.9743795036028823,0.8030424339471577,0.9743795036028823,0.917267147050974,,,,,,,left_only,STATS_only,,cc(c)cc[nH]
cc(c)nc(C)[nH],,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)nc(C)[nH]
